Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,0,4,2,121,333,235,123,30.75,2,140.75,false
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,0,5,3,215,436,340,233,46.6,2,113.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,0,14,11,942,1466,1246,942,67.28571428571429,3,38.642857142857146,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,0,3,1,78,150,121,78,26.0,3,106.33333333333333,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,0,4,3,170,210,195,170,42.5,2,74.25,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,0,9,7,441,795,633,527,58.55555555555556,3,53.55555555555556,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,0,5,4,185,216,210,185,37.0,3,81.8,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,0,7,5,515,691,621,519,74.14285714285714,3,68.0,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,0,5,2,130,187,168,130,26.0,3,92.2,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,0,3,1,152,171,164,152,50.666666666666664,3,111.66666666666667,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,0,1,0,124,147,147,124,124.0,1,119.0,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,0,5,3,123,401,269,123,24.6,3,66.4,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,0,4,2,241,289,280,241,60.25,3,81.75,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,0,9,5,493,1532,1040,493,54.77777777777778,3,59.77777777777778,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,0,6,4,688,1134,931,830,138.33333333333334,2,38.5,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,0,4,3,174,219,212,174,43.5,2,99.25,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,0,2,1,42,56,53,42,21.0,2,145.5,false
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,0,5,4,148,229,207,148,29.6,3,83.0,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,0,3,2,55,71,66,55,18.333333333333332,3,103.66666666666667,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,0,8,5,139,263,210,157,19.625,3,63.875,true
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,0,4,3,71,103,92,73,18.25,3,106.25,false
