Version, Version Name, Path, LOCs, LOCs Touched, Churn, Number of Revisions, Authors Number, Bugfix, Average Change Set
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,843,123,4,2,0,140
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,1969,233,5,2,1,113
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,942,18976,942,14,3,5,38
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,350,78,3,3,0,106
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,1138,170,4,2,2,74
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,7867,527,9,3,4,53
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,1239,185,5,3,1,81
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,515,6585,519,7,3,3,68
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,130,1124,130,5,3,0,92
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,740,152,3,3,0,111
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,124,124,1,1,0,119
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,123,1085,123,5,3,0,66
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,241,1587,241,4,3,0,81
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,493,7529,493,9,3,1,59
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,688,7956,830,6,2,2,38
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,174,1212,174,4,2,1,99
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,126,42,2,2,0,145
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,148,1324,148,5,3,0,83
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,275,55,3,3,0,103
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,139,2197,157,8,3,3,63
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,499,73,4,3,1,106
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,71,351,71,3,2,0,129
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,667,13899,675,12,3,3,46
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,208,2494,212,7,3,1,62
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,151,2365,153,9,3,3,57
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,166,1708,166,6,3,1,72
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,53,371,53,4,3,1,79
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,140,886,140,4,3,0,104
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,144,994,144,4,3,0,104
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,91,973,93,6,2,2,51
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,68,68,68,1,1,0,28
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,69,207,69,2,2,0,145
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,71,213,71,2,2,0,145
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,93,201,93,2,1,1,40
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,195,1365,195,4,2,3,13
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,341,2387,341,4,2,3,13
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,232,694,232,2,1,2,20
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,174,174,174,1,1,1,36
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,477,477,477,1,1,1,36
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,174,174,174,1,1,1,36
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,130,130,130,1,1,1,36
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,89,89,89,1,1,1,36
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,157,2003,161,7,3,2,66
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,136,674,136,4,3,0,81
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,354,5596,364,11,3,3,47
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,114,310,114,3,3,1,109
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,468,6940,472,8,3,2,59
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,507,8259,509,9,3,3,53
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,121,121,121,1,1,0,119
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,164,816,164,3,2,0,129
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,137,681,137,3,2,0,129
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,83,6047,1371,6,3,1,70
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,207,2097,207,6,3,1,80
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,47,235,47,3,3,1,109
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,30,90,30,2,2,0,145
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,83,249,83,2,2,0,145
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,32,156,32,3,2,0,129
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,59,383,103,3,2,1,109
1,refs/tags/release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,83,83,83,1,1,1,36
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,64,64,64,1,1,0,31
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,39,39,39,1,1,0,31
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,44,220,44,3,2,0,161
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,58,174,58,2,2,0,227
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,222,666,222,2,2,0,227
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,113,565,113,3,2,0,161
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,115,801,115,4,2,0,145
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,153,761,153,3,2,0,184
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,41,123,41,2,2,0,227
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,101,903,101,5,3,1,117
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,129,641,129,3,2,0,184
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,53,159,53,2,2,0,227
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,140,420,140,2,2,0,227
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,64,192,64,2,2,0,227
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,32,32,32,1,1,0,282
1,refs/tags/release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,33,99,33,2,2,0,227
