Version, Version Name, Path, LOCs, LOCs Touched, Churn, Age, Number of Revisions, Authors Number, Bugfix
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,363,123,1,4,2,0
1,refs/tags/release-4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,661,233,1,5,2,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,502,502,502,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,68,68,68,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,160,160,160,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,460,460,460,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,113,113,113,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,503,503,503,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,119,119,119,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,147,147,147,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,124,124,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,112,112,112,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/BKException.java,221,221,221,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,370,370,370,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,173,173,173,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,42,42,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/DigestManager.java,147,147,147,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,55,55,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,146,146,146,1,1,1,0
1,refs/tags/release-4.0.0,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,71,71,1,1,1,0
