Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/1.0.0,openjpa-examples/src/main/java/hellojpa/Main.java,0,4,0,63,98,87,63,15,1,343,false
1,refs/tags/1.0.0,openjpa-examples/src/main/java/hellojpa/Message.java,0,3,0,59,92,82,59,19,1,425,false
1,refs/tags/1.0.0,openjpa-examples/src/main/java/relations/Deity.java,0,4,0,155,237,217,171,42,2,318,false
1,refs/tags/1.0.0,openjpa-examples/src/main/java/relations/Main.java,0,3,0,136,200,185,136,45,1,456,false
1,refs/tags/1.0.0,openjpa-examples/src/main/java/reversemapping/Main.java,0,1,0,102,120,120,102,102,1,14,false
1,refs/tags/1.0.0,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,0,4,0,59,87,76,59,14,2,747,false
1,refs/tags/1.0.0,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,0,3,0,91,123,113,91,30,2,922,false
1,refs/tags/1.0.0,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/XMLValueHandler.java,0,3,0,89,102,99,91,30,2,34,false
1,refs/tags/1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,0,7,0,189,249,234,189,27,4,437,true
1,refs/tags/1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,0,8,0,275,358,335,275,34,4,378,false
1,refs/tags/1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,0,5,0,131,177,164,131,26,3,575,true
1,refs/tags/1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,0,4,0,48,73,63,48,12,2,692,false
1,refs/tags/1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,0,6,0,530,679,642,542,90,3,515,false
1,refs/tags/1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,0,14,2,759,1032,959,815,58,5,214,false
1,refs/tags/1.0.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,0,9,0,45,127,89,53,5,4,328,false
